"Carimbo de data/hora","1. Qual a sua faixa etária?","2. Qual seu sexo?","3. Qual seu nível de escolaridade?","4. Selecione abaixo os seus gêneros literários preferidos:","5. Quantos livros, em média, você lê por ano?","6. Qual é a sua forma preferida de leitura?","7. Em que tipo de ambiente você costuma ler?","8. Qual é o seu maior obstáculo para ler um livro? (Dificuldades e limitações)","9. O que a leitura pode contribuir/contribuiu para você?","10. Qual foi o seu primeiro contato com a leitura?","PERGUNTA EXTRA
O que você sugere para melhorar a experiência do leitor com os livros e bibliotecas?"
"2024/02/19 10:20:18 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia","6 a 10 livros","Livro físico","Transporte público","Falta de tempo e interesse em novos livros.","Contribuiu com o meu vocabulário, melhora na fala e escrita. ","Em casa","Maior variedade de gêneros dos livros nas bibliotecas."
"2024/02/19 10:27:52 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Fantasia;Suspense;Ficção científica","Mais de 20 livros","E-Book","Transporte público","Tempo","Conhecimento","Em casa",""
"2024/02/19 10:29:38 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Ficção científica","1 a 5 livros","Livro físico","Em casa","tempo","Relaxar, desestressar, melhorar a criatividade e a imaginação, sociabilizar com outros leitores","Em casa",""
"2024/02/19 10:32:28 AM GMT-3","17 - 21 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Ficção científica","1 a 5 livros","Livro físico","Em casa","Paciência e dinheiro","Conhecimento, entretenimento, lazer","Na escola","Sistema dr buscas melhor"
"2024/02/19 10:36:01 AM GMT-3","17 - 21 anos","Feminino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Ficção científica","1 a 5 livros","Livro físico;E-Book","Em casa","Falta de atenção. ","Vocabulário e maior ""bagagem"" cultural. ","Em casa",""
"2024/02/19 10:41:57 AM GMT-3","17 - 21 anos","Feminino","Ensino Superior Completo ou Cursando","Fantasia;Suspense","6 a 10 livros","Livro físico","Em casa;Transporte público","Preço pra comprar, dificuldade em achar online, temática massante","Entretenimento normalmente ","Em casa","Acervo melhor. Normalmente só há livros aleatórios e velhos. Alem disso, as bibliotecas onde eu moro são de dificil acesso e não há tempo para ir até elas.

Talvez bibliotecas poderiam disponibilizar de forma virtual "
"2024/02/19 10:42:48 AM GMT-3","17 - 21 anos","Feminino","Ensino Superior Completo ou Cursando","Romance","Mais de 20 livros","E-Book","Transporte público","Dificuldade no acesso de livros, valores muito altos para obter-los","Melhora meu raciocínio e assimilação, escrita, coesão e coerência","Em casa","Ambientes com diversidade de livros e bem localizados, métodos de incentivo a leitura, como redes sociais de leitores (exemplo skoob)"
"2024/02/19 10:46:25 AM GMT-3","Mais de 25 anos","Masculino","Ensino Superior Completo ou Cursando","política","1 a 5 livros","Livro físico;E-Book","Em casa","tempo","tudo","Em casa","incentivo, custo ..."
"2024/02/19 10:47:05 AM GMT-3","22 - 24 anos","Masculino","Ensino Superior Completo ou Cursando","Romance;Fantasia;Ficção científica;Técnico ","6 a 10 livros","Livro físico","Ambiente de Trabalho","Dinheiro ","Entretenimento ","Em casa","Preço "
"2024/02/19 10:51:42 AM GMT-3","22 - 24 anos","Masculino","Ensino Superior Incompleto","Suspense;Ficção científica","1 a 5 livros","Livro físico;E-Book","Em casa;Ambiente de Trabalho","O custo dos livros","Vocabulário, conhecimentos gerais","Em casa",""
